PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESA DAGRI 72/2019",NAMA DESA,"NILAI IDM 2021","STATUS IDM DESA 2021"
"62,872",MALUKU UTARA,HALMAHERA TIMUR,MABA UTARA,8206092002,DOROSAGU,0.5541,TERTINGGAL
"62,873",NUSA TENGGARA TIMUR,ENDE,KOTA BARU,5308132015,PISE,0.5541,TERTINGGAL
"62,874",NUSA TENGGARA TIMUR,FLORES TIMUR,TANJUNG BUNGA,5306052012,LAMATUTU,0.5541,TERTINGGAL
"62,875",NUSA TENGGARA TIMUR,KUPANG,FATULEU,5301102013,TOLNAKU,0.5541,TERTINGGAL
"62,876",NUSA TENGGARA TIMUR,MALAKA,KOBALIMA,5321112003,SISI,0.5541,TERTINGGAL
"62,877",NUSA TENGGARA TIMUR,MANGGARAI,REOK BARAT,5310162002,LANTE,0.5541,TERTINGGAL
"62,878",NUSA TENGGARA TIMUR,MANGGARAI BARAT,SANO NGGOANG,5315042026,GOLO KONDENG,0.5541,TERTINGGAL
"62,879",NUSA TENGGARA TIMUR,ROTE NDAO,ROTE BARAT LAUT,5314022020,OEBOLE,0.5541,TERTINGGAL
"62,880",NUSA TENGGARA TIMUR,SIKKA,TANA WAWO,5307172005,RENGGARASI,0.5541,TERTINGGAL
"62,881",NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,INSANA FAFINESU,5303192005,BAUNUAN,0.5541,TERTINGGAL
"62,882",SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,7605062007,AWO,0.5541,TERTINGGAL
"62,883",SULAWESI SELATAN,PINRANG,LEMBANG,7315072013,SALI SALI,0.5541,TERTINGGAL
"62,884",SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI IDANOI,1278042015,LOLO'ANA'A IDANOI,0.5541,TERTINGGAL
"62,885",SUMATERA UTARA,NIAS,GIDO,1204062028,SOEWE,0.5541,TERTINGGAL
"62,886",SUMATERA UTARA,PADANG LAWAS,AEK NABARA BARUMUN,1221112002,AEK NABARA JAE,0.5541,TERTINGGAL
"62,887",ACEH,ACEH SELATAN,KOTA BAHAGIA,1101172006,UJONG GUNONG CUT,0.5540,TERTINGGAL
"62,888",ACEH,ACEH UTARA,KUTA MAKMUR,1108032037,PANTON RAYEUK I,0.5540,TERTINGGAL
"62,889",ACEH,ACEH UTARA,SIMPANG KRAMAT,1108222013,IE TAREK I,0.5540,TERTINGGAL
"62,890",ACEH,BIREUEN,PEUDADA,1111032012,ARA BUNGONG,0.5540,TERTINGGAL
"62,891",ACEH,NAGAN RAYA,BEUTONG,1115042005,BLANG MESJID,0.5540,TERTINGGAL
"62,892",ACEH,PIDIE,BATEE,1107032008,CALONG CUT,0.5540,TERTINGGAL
PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESADAGRI 72/2019",NAMA DESA,"NILAI IDM2021","STATUS IDMDESA 2021"
"62,893",ACEH,SIMEULUE,TEUPAH SELATAN,1109072008,LATIUNG,0.5540,TERTINGGAL
"62,894",BENGKULU,SELUMA,TALO KECIL,1705122004,NAPALAN,0.5540,TERTINGGAL
"62,895",KALIMANTAN BARAT,KAPUAS HULU,BIKA,6106022010,MELAPI MANDAY,0.5540,TERTINGGAL
"62,896",KALIMANTAN BARAT,SINTANG,TEMPUNAK,6105022020,RIAM BATU,0.5540,TERTINGGAL
"62,897",LAMPUNG,WAY KANAN,BLAMBANGAN UMPU,1808012010,TANJUNG RAJA GIHAM,0.5540,TERTINGGAL
"62,898",MALUKU,SERAM BAGIAN TIMUR,GOROM TIMUR,8105112005,ARAN,0.5540,TERTINGGAL
"62,899",MALUKU UTARA,HALMAHERA SELATAN,OBI BARAT,8204282002,ALAM PELITA,0.5540,TERTINGGAL
"62,900",NUSA TENGGARA TIMUR,KUPANG,AMARASI BARAT,5301172002,SOBA,0.5540,TERTINGGAL
"62,901",NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,KODI,5318072011,MALI LHA,0.5540,TERTINGGAL
"62,902",PAPUA,DEIYAI,TIGI BARAT,9128042002,DEMAGO,0.5540,TERTINGGAL
"62,903",PAPUA BARAT,SORONG,KLABOT,9201172004,KLABOT,0.5540,TERTINGGAL
"62,904",SULAWESI BARAT,MAMASA,ARALLE,7603022003,RALLE ANAK,0.5540,TERTINGGAL
"62,905",SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,7602162001,BALA BALAKANG,0.5540,TERTINGGAL
"62,906",SULAWESI SELATAN,TORAJA UTARA,BANGKELEKILA,7326172003,BANGKELEKILA',0.5540,TERTINGGAL
"62,907",SULAWESI TENGAH,BANGGAI LAUT,BANGKURUNG,7211042007,MBELEANG,0.5540,TERTINGGAL
"62,908",SULAWESI TENGGARA,KONAWE KEPULAUAN,WAWONII BARAT,7412012011,LANOWATU,0.5540,TERTINGGAL
"62,909",SULAWESI TENGGARA,MUNA,KABAWO,7403242003,BENTE,0.5540,TERTINGGAL
"62,910",SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,7108052015,KOMUS DUA TIMUR,0.5540,TERTINGGAL
"62,911",SUMATERA UTARA,DAIRI,TANAH PINEM,1211062011,RENUN,0.5540,TERTINGGAL
"62,912",SUMATERA UTARA,KARO,MARDINGDING,1206102007,BANDAR PURBA,0.5540,TERTINGGAL
"62,913",SUMATERA UTARA,MANDAILING NATAL,PANYABUNGAN TIMUR,1213032007,PARDOMUAN,0.5540,TERTINGGAL
"62,914",SUMATERA UTARA,PADANG LAWAS UTARA,PADANG BOLAK TENGGARA,1220102007,SIMANINGGIR,0.5540,TERTINGGAL
"62,915",ACEH,ACEH UTARA,LHOKSUKON,1108042016,TRIENG PANTANG,0.5538,TERTINGGAL
"62,916",ACEH,ACEH UTARA,PAYA BAKONG,1108202038,BLANG DALAM,0.5538,TERTINGGAL
"62,917",ACEH,ACEH UTARA,PIRAK TIMUR,1108242022,PUCOK ALUE,0.5538,TERTINGGAL
