PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESADAGRI 72/2019",NAMA DESA,"NILAI IDM2021","STATUS IDMDESA 2021"
"69,413",ACEH,ACEH UTARA,PAYA BAKONG,1108202007,ALUE LHOK,0.4889,SANGAT TERTINGGAL
"69,414",ACEH,ACEH UTARA,PAYA BAKONG,1108202009,BUKET PIDIE,0.4889,SANGAT TERTINGGAL
"69,415",ACEH,BIREUEN,JULI,1111092030,PANTE PEUSANGAN,0.4889,SANGAT TERTINGGAL
"69,416",KALIMANTAN SELATAN,KOTABARU,HAMPANG,6302142008,HULU SAMPANAHAN,0.4889,SANGAT TERTINGGAL
"69,417",PAPUA,WAROPEN,OUDATE,9115112003,BAINO JAYA,0.4889,SANGAT TERTINGGAL
"69,418",PAPUA BARAT,SORONG,MALABOTOM,9201492003,KLAMUGUN,0.4889,SANGAT TERTINGGAL
"69,419",SUMATERA BARAT,SOLOK SELATAN,SANGIR BATANG HARI,1311052003,LUBUK ULANG ALING,0.4889,SANGAT TERTINGGAL
"69,420",PAPUA,BOVEN DIGOEL,JAIR,9116052013,KAPOGU,0.4889,SANGAT TERTINGGAL
"69,421",PAPUA,PEGUNUNGAN BINTANG,ABOY,9112082001,ABOY,0.4887,SANGAT TERTINGGAL
"69,422",PAPUA BARAT,RAJA AMPAT,KEPULAUAN SEMBILAN,9205172003,SATUKURANO,0.4887,SANGAT TERTINGGAL
"69,423",PAPUA BARAT,TELUK BINTUNI,MOSKONA TIMUR,9206242003,SUMUY,0.4887,SANGAT TERTINGGAL
"69,424",PAPUA,MAPPI,YAKOMI,9117122005,BOROHABA,0.4887,SANGAT TERTINGGAL
"69,425",PAPUA,KEEROM,SENGGI,9111032005,USKU,0.4887,SANGAT TERTINGGAL
"69,426",PAPUA,MAPPI,OBAA,9117012010,MUIN,0.4887,SANGAT TERTINGGAL
"69,427",PAPUA BARAT,TAMBRAUW,BAMUSBAMA,9209142003,SYARWOM,0.4887,SANGAT TERTINGGAL
"69,428",SULAWESI BARAT,MAMASA,PANA,7603042012,KARAKA,0.4887,SANGAT TERTINGGAL
"69,429",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,SUNGAI ARE,1609152003,TANAH PILIH,0.4887,SANGAT TERTINGGAL
"69,430",SUMATERA UTARA,NIAS BARAT,SIROMBU,1225022015,OMBOLATA,0.4887,SANGAT TERTINGGAL
"69,431",SUMATERA UTARA,NIAS SELATAN,BORONADU,1214272005,SINAR HELAOWO,0.4887,SANGAT TERTINGGAL
"69,432",SUMATERA UTARA,TAPANULI TENGAH,PASARIBU TOBING,1201162006,SIMARGARAP,0.4887,SANGAT TERTINGGAL
"69,433",ACEH,ACEH UTARA,LANGKAHAN,1108182023,PANTE GAKI BALE,0.4886,SANGAT TERTINGGAL
"69,434",ACEH,BIREUEN,PEUDADA,1111032026,KUKUE,0.4886,SANGAT TERTINGGAL
"69,435",ACEH,BIREUEN,PEUSANGAN SIBLAH KRUENG,1111152011,PANTE BARO BUKET PANYANG,0.4886,SANGAT TERTINGGAL
"69,436",PAPUA BARAT,SORONG,MAUDUS,9201202012,SAFDESA,0.4886,SANGAT TERTINGGAL
"69,437",SULAWESI SELATAN,LUWU,LATIMOJONG,7317122004,LAMBANAN,0.4886,SANGAT TERTINGGAL
"69,438",SULAWESI SELATAN,TANA TORAJA,MASANDA,7318312002,PALIORONG,0.4886,SANGAT TERTINGGAL
"69,439",SUMATERA UTARA,DAIRI,TANAH PINEM,1211062015,LIANG JERING,0.4886,SANGAT TERTINGGAL
"69,440",SUMATERA UTARA,LANGKAT,BATANG SERANGAN,1205192008,PALUH PAKEH BABUSSALAM,0.4886,SANGAT TERTINGGAL
"69,441",SUMATERA UTARA,NIAS,HILIDUHO,1204052024,SISOBALAURU,0.4886,SANGAT TERTINGGAL
"69,442",SUMATERA UTARA,NIAS,HILIDUHO,1204052025,TUHEGAFOA II,0.4886,SANGAT TERTINGGAL
"69,443",PAPUA,PANIAI,AWEIDA,9108332004,BUMAIDA,0.4884,SANGAT TERTINGGAL
"69,444",MALUKU,BURU SELATAN,LEKSULA,8109052023,WALUNGHELAT,0.4884,SANGAT TERTINGGAL
"69,445",MALUKU UTARA,HALMAHERA BARAT,LOLODA,8201022005,TUGUIS,0.4884,SANGAT TERTINGGAL
"69,446",PAPUA,KEEROM,WEB,9111042001,DUBU,0.4884,SANGAT TERTINGGAL
"69,447",PAPUA,MAPPI,ASSUE,9117062008,HOMANG,0.4884,SANGAT TERTINGGAL
"69,448",PAPUA,NABIRE,MOORA,9104232002,HARITI,0.4884,SANGAT TERTINGGAL
"69,449",SULAWESI BARAT,MAMASA,ARALLE,7603022019,HAHANGAN,0.4884,SANGAT TERTINGGAL
"69,450",SULAWESI BARAT,MAMASA,PANA,7603042017,ULUSALU INDAH,0.4884,SANGAT TERTINGGAL
"69,451",SULAWESI SELATAN,LUWU,LATIMOJONG,7317122011,TIBUSSAN,0.4884,SANGAT TERTINGGAL
"69,452",SULAWESI SELATAN,LUWU,LATIMOJONG,7317122003,ULUSALU,0.4884,SANGAT TERTINGGAL
"69,453",SUMATERA UTARA,NIAS,HILIDUHO,1204052041,SILIMABANUA,0.4884,SANGAT TERTINGGAL
"69,454",SUMATERA UTARA,NIAS,ULUGAWO,1204272009,HOLI,0.4884,SANGAT TERTINGGAL
"69,455",SUMATERA UTARA,NIAS BARAT,SIROMBU,1225022016,TETEHOSI,0.4884,SANGAT TERTINGGAL
"69,456",SUMATERA UTARA,PADANG LAWAS UTARA,HULU SIHAPAS,1220092005,SIMANINGGIR,0.4884,SANGAT TERTINGGAL
"69,457",ACEH,ACEH UTARA,BAKTIYA BARAT,1108192025,BLANG RHEUE,0.4883,SANGAT TERTINGGAL
"69,458",NUSA TENGGARA TIMUR,KUPANG,SEMAU SELATAN,5301232003,ONANSILA,0.4883,SANGAT TERTINGGAL
"69,459",NUSA TENGGARA TIMUR,SIKKA,MEGO,5307022008,NAPUGERA,0.4883,SANGAT TERTINGGAL
"69,460",PAPUA,JAYAWIJAYA,MUSATFAK,9102272001,TEMIA,0.4883,SANGAT TERTINGGAL
"69,461",PAPUA BARAT,MANOKWARI,WARMARE,9202032003,HINGK,0.4883,SANGAT TERTINGGAL
"69,462",PAPUA BARAT,MANOKWARI SELATAN,NENEY,9211032007,NENEY,0.4883,SANGAT TERTINGGAL
"69,463",PAPUA BARAT,TAMBRAUW,MORAID,9209082008,BONEM,0.4883,SANGAT TERTINGGAL
"69,464",SULAWESI SELATAN,LUWU,LATIMOJONG,7317122008,PAJANG,0.4883,SANGAT TERTINGGAL
"69,465",SUMATERA UTARA,MANDAILING NATAL,MUARA BATANG GADIS,1213172013,LUBUK KAPUNDUNG II,0.4883,SANGAT TERTINGGAL
"69,466",SUMATERA UTARA,NIAS,IDANOGAWO,1204102037,BIOUTI TIMUR,0.4883,SANGAT TERTINGGAL
"69,467",SUMATERA UTARA,NIAS,ULUGAWO,1204272008,ONODALINGA,0.4883,SANGAT TERTINGGAL
"69,468",SUMATERA UTARA,NIAS SELATAN,FANAYAMA,1214182008,LAHUSA FAU,0.4883,SANGAT TERTINGGAL
"69,469",SUMATERA UTARA,NIAS UTARA,ALASA,1224072013,LOLOANA'A,0.4883,SANGAT TERTINGGAL
"69,470",SUMATERA UTARA,NIAS UTARA,SITOLU ORI,1224042002,UMBUBALODANO,0.4883,SANGAT TERTINGGAL
"69,471",PAPUA BARAT,RAJA AMPAT,WAIGEO SELATAN,9205032015,YENBESER,0.4883,SANGAT TERTINGGAL
"69,472",ACEH,BIREUEN,MAKMUR,1111062014,BLANG DALAM,0.4881,SANGAT TERTINGGAL
"69,473",ACEH,BIREUEN,PEUSANGAN SIBLAH KRUENG,1111152013,ALUE IET,0.4881,SANGAT TERTINGGAL
"69,474",MALUKU UTARA,HALMAHERA SELATAN,KAYOA BARAT,8204112004,FOFAO,0.4881,SANGAT TERTINGGAL
"69,475",PAPUA,BIAK NUMFOR,BIAK TIMUR,9106032012,SOON,0.4881,SANGAT TERTINGGAL
"69,476",PAPUA,MIMIKA,HOYA,9109142001,HOYA,0.4881,SANGAT TERTINGGAL
"69,477",PAPUA BARAT,MAYBRAT,AIFAT TIMUR,9210032004,AIKRER,0.4881,SANGAT TERTINGGAL
"69,478",PAPUA BARAT,MAYBRAT,AIFAT TIMUR,9210032001,AISA,0.4881,SANGAT TERTINGGAL
"69,479",PAPUA BARAT,TAMBRAUW,MAWABUAN,9209222001,WAUSIN,0.4881,SANGAT TERTINGGAL
"69,480",SULAWESI TENGAH,SIGI,MARAWOLA BARAT,7210152008,PANASIBAJA,0.4881,SANGAT TERTINGGAL
"69,481",SUMATERA UTARA,MANDAILING NATAL,KOTANOPAN,1213082008,HUTARIMBARU SM,0.4881,SANGAT TERTINGGAL
"69,482",SUMATERA UTARA,NIAS,ULUGAWO,1204272006,FATODANO,0.4881,SANGAT TERTINGGAL
"69,483",SUMATERA UTARA,NIAS BARAT,MANDREHE,1225052017,DOLI-DOLI,0.4881,SANGAT TERTINGGAL
"69,484",SUMATERA UTARA,NIAS SELATAN,IDANOTAE,1214352008,HILISALO'O,0.4881,SANGAT TERTINGGAL
"69,485",SUMATERA UTARA,NIAS SELATAN,LAHUSA,1214032041,HILIWATEMA,0.4881,SANGAT TERTINGGAL
"69,486",SUMATERA UTARA,NIAS UTARA,SITOLU ORI,1224042004,HILISALO'O,0.4881,SANGAT TERTINGGAL
"69,487",SUMATERA UTARA,PADANG LAWAS UTARA,DOLOK,1220022040,JANJI MANAHAN GUL,0.4881,SANGAT TERTINGGAL
"69,488",PAPUA,PANIAI,WEGEE MUKA,9108222005,KOBAUYAGAPA,0.4881,SANGAT TERTINGGAL
"69,489",PAPUA BARAT,TELUK BINTUNI,FAFURWAR,9206082003,RIENDO,0.4879,SANGAT TERTINGGAL
"69,490",MALUKU UTARA,HALMAHERA SELATAN,GANE TIMUR,8204032007,BATONAM,0.4879,SANGAT TERTINGGAL
